"I love the feel of the key board, as well as the trackpad.","2","['key board', 'trackpad']","['positive', 'positive']"
"Now I have the best of both worlds with all of the power and ease of the Mac!","2","['power', 'ease']","['positive', 'positive']"
"Ease of use is just one of the benefits I love about my Mac.","1","['use']","['positive']"
"-Touchpad will take a bit of time to get used to.","1","['Touchpad']","['neutral']"
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.","3","['connection card', 'warranty', 'warranty']","['neutral', 'negative', 'negative']"
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.","2","['4GB of RAM', '8GB of RAM']","['neutral', 'neutral']"
"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.","1","['game']","['neutral']"
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).","2","['Browsing', 'itunes']","['positive', 'positive']"
"Again, decent comp for the price, and I was in need of one quickly as my other laptop died on me.","1","['price']","['positive']"
"so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.","1","['setup']","['negative']"
"My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well.","1","['motherboard']","['negative']"
"  Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.","1","['Toshiba customer services']","['negative']"
"Quality Display  I was surprised with the performance and quality of this HP Laptop.","3","['Quality Display', 'performance', 'quality']","['positive', 'positive', 'positive']"
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","1","['battery life']","['negative']"
"The internet capabilities are also very strong and picks up signals very easily.","1","['internet capabilities']","['positive']"
"Its fast, has High definition quality in the videos.","1","['High definition quality']","['positive']"
"Another Great thing is the Beast graphics.","1","['Beast graphics']","['positive']"
"The ease of set up was terrific.","1","['set up']","['positive']"
"Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.","2","['wall charger', 'battery']","['neutral', 'positive']"
"The battery life is probably an hour at best.","1","['battery life']","['negative']"
"This is a review of windows vista system.","1","['windows vista system']","['neutral']"
"cosmetically, the only thing they changed was 2 of the Function keys at the top.","1","['Function keys']","['neutral']"
"But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.","1","['BIOS']","['negative']"
"  There's literally no way to make it sing with Vista.","1","['Vista']","['negative']"
"Screen size is perfect for portable use in any environment.","1","['Screen size']","['positive']"
"First, it does not have a push button to open the lid.","2","['push button', 'lid']","['negative', 'neutral']"
"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).","2","['Pentium 4', '1 GB ram']","['neutral', 'neutral']"
"I now realize that my $900 would have been better spent on a Windows laptop.","1","['Windows']","['positive']"
") And printing from either word processor is an adventure.","1","['word processor']","['negative']"
"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.","1","['interface device']","['negative']"
"Another included program that is laughable is the chess game.","1","['included program']","['negative']"
"Yes, I thought the expese was a little much, but I now realize you get what you pay for.","1","['expese']","['negative']"
"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.","2","['internet use', 'Microsoft Office apps']","['positive', 'positive']"
"The price was very good, and the product is top quality.","2","['price', 'quality']","['positive', 'positive']"
"It played various games without problems and ran aero smoothly and flawlessly.","2","['games', 'aero']","['neutral', 'neutral']"
"After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.","2","['hard drive', 'battery']","['neutral', 'negative']"
"  The screen almost looked like a barcode when it froze.","1","['screen']","['negative']"
"From the get-go, the M6809 was unsteady in its operation;","1","['operation']","['negative']"
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.","1","['screen']","['positive']"
"It even has a great webcam, and Skype works very well.","2","['webcam', 'Skype']","['positive', 'positive']"
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.","2","['machined aluminum frame', 'keyboard']","['positive', 'positive']"
"You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.","2","['parallels type program', 'software']","['positive', 'positive']"
"This computer I used daily nice compact design.","1","['design']","['positive']"
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","3","['ATI graphics card', 'games', 'Intel built-in card']","['positive', 'neutral', 'positive']"
"It was hard to handle and operate at school.","2","['handle', 'operate']","['negative', 'negative']"
"It has easy to use features and all the speed and power I could ask for.","3","['features', 'speed', 'power']","['positive', 'positive', 'positive']"
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","2","['power supply cord', 'Applecare warranty plan']","['negative', 'positive']"
"I preferred the fit and feel of the 13 inch.","1","['13 inch']","['positive']"
"power supply went bad after 2 weeks --","1","['power supply']","['negative']"
"The screen takes some getting use to, because it is smaller than the laptop.","1","['screen']","['negative']"
"I regret buying it before understanding how awful it is to use.","1","['use']","['negative']"
"The right speaker did not work.","1","['right speaker']","['negative']"
"  Dealing with the support drone on the other end of the chat was sheer torture.","1","['support']","['negative']"
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.","1","['Final Cut Pro']","['positive']"
"The computer runs extremely slowly, whether opening Word or My Computer.","1","['runs']","['negative']"
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.","5","['Mac Snow Leopard O/S', 'use', 'Win XP', 'Visa', 'Win7']","['positive', 'positive', 'neutral', 'neutral', 'neutral']"
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.","3","['Startup', 'shutdown', 'resume from sleep']","['neutral', 'neutral', 'neutral']"
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.","3","['screen', 'keyboard', 'fit']","['positive', 'positive', 'positive']"
"I have only had PCs with Windows before so this takes a little getting use to.","1","['Windows']","['neutral']"
"super fast processor and really nice graphics card..","2","['processor', 'graphics card']","['positive', 'positive']"
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.","4","['size', 'external keyboard', 'mouse', 'monitor']","['positive', 'neutral', 'neutral', 'neutral']"
"The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.","1","['windows 7 system']","['negative']"
"I dislike the weight and size, cubersome.","2","['weight', 'size']","['negative', 'negative']"
"The wheel that turns the volume up and down doesn't work in real time.","1","['wheel']","['negative']"
"I cannot be happier with the service or product.","1","['service']","['positive']"
"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.","1","['flatline keyboard']","['positive']"
"Speakers doesn't sound that great.","1","['Speakers']","['negative']"
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.","3","['windows 7', 'ergonomics', 'connections']","['positive', 'negative', 'negative']"
"After numerous calls to Applecare tech support, I was directed to send in my computer;","1","['Applecare tech support']","['negative']"
"The ""abuse"" is that I pushed the power plug in too hard.","1","['power plug']","['negative']"
"The resolution on the screen is almost pure HD.","1","['resolution on the screen']","['positive']"
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.","3","['programs', 'iLife', 'iWork']","['neutral', 'neutral', 'neutral']"
"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.","1","['gaming']","['negative']"
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased","2","['value', 'delivery']","['positive', 'positive']"
"The Internet Explorer was very slow from the very beginning.","1","['Internet Explorer']","['negative']"
"The AC power port becomes loose over time","1","['AC power port']","['negative']"
"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself ""Getting the job done quicker.","1","['running system']","['positive']"
"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.","1","['programs']","['negative']"
"and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.","2","['power supply', 'power supply']","['positive', 'negative']"
"Enjoy that Toshib force and durability unparalleled","2","['force', 'durability']","['positive', 'positive']"
"Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.","1","['Vista Business']","['positive']"
"I use the computer to basically check emails, surf the web, print coupons and for my college papers.","1","['surf the web']","['neutral']"
"We love the size of the screen, although it is still lightweight and very easy to tote around.","2","['size of the screen', 'tote']","['positive', 'positive']"
"so the fact that the computer does not work on the 24 twenty fourth day is my fault.","1","['work']","['negative']"
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.","1","['use']","['positive']"
"  the battery is irreplaceable.","1","['battery']","['negative']"
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.","2","['Win 7', '2GB stick of memory']","['positive', 'positive']"
"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.","1","['Norton']","['negative']"
"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.","2","['internet', 'command prompt']","['negative', 'negative']"
"It's software and speed enable it to do amazing things.","2","['software', 'speed']","['positive', 'positive']"
"Could not keep up with me and finally the hard drive went out.","1","['hard drive']","['negative']"
"I am most impressed with the programming, including the iPhoto.","2","['programming', 'iPhoto']","['positive', 'positive']"
"Speakers too small to be of any real use.","1","['Speakers']","['negative']"
"I upgraded it's RAM to 2GB, I am very happy with it.","1","['RAM']","['positive']"
"I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.","1","['speakers']","['positive']"
"They should have included more memory on their computers if they knew Vista would run slowly.","2","['memory', 'Vista']","['negative', 'negative']"
"Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!","2","['Battery life', 'price']","['negative', 'positive']"
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","3","['battery', 'charge', 'charge']","['negative', 'negative', 'negative']"
"  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.","2","['warrenty', 'hard drive']","['neutral', 'negative']"
"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.","1","['Windows 7 Starter']","['positive']"
"The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.","2","['icon list', 'desktop icons']","['positive', 'negative']"
"I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.","1","['warranty']","['negative']"
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","4","['built', 'look', 'price', 'performance']","['positive', 'positive', 'positive', 'positive']"
"The apple care has never failed me, and I expect it to be the same for this computer as well.","1","['apple care']","['positive']"
"The Toshiba laptop I am using is easier to use than most I have tried.","1","['use']","['positive']"
"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.","1","['warranty']","['neutral']"
"So we exchanged it for the same on and after 2 hours it didn't work.","1","['work']","['negative']"
"I love the size, keyboard, the functions.","3","['size', 'keyboard', 'functions']","['positive', 'positive', 'positive']"
"the mouse is way way way to sensitve.","1","['mouse']","['negative']"
"The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.","2","['OS', 'run']","['positive', 'positive']"
"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.","1","['screen']","['negative']"
"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","1","['delivery service']","['negative']"
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","3","['performance', 'picture quality', 'use']","['positive', 'positive', 'positive']"
"the i3 processor doesn't seem to run hot and the fan rarely turns on.","2","['i3 processor', 'fan']","['positive', 'positive']"
"  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","3","['battery', 'charge', 'charge']","['negative', 'negative', 'negative']"
"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.","3","['mousepad', 'keys', 'casing']","['neutral', 'neutral', 'neutral']"
"See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.","1","['operating system']","['neutral']"
"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.","1","['resolution of the screen']","['negative']"
"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.","1","['touchpad']","['negative']"
"very convenient when you travel and the battery life is excellent...","1","['battery life']","['positive']"
"  The machine is slow to boot up and occasionally crashes completely.","1","['boot up']","['negative']"
"This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.","1","['charge']","['positive']"
"I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.","1","['OS']","['neutral']"
"the screen brightness automatically adjusts.","1","['screen brightness']","['neutral']"
"I especially like the backlit keyboard.","1","['backlit keyboard']","['positive']"
"Besides the great look, it is a great machine.","1","['look']","['positive']"
"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.","1","['cost']","['negative']"
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.","1","['sound']","['negative']"
"(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)","4","['SATA controller', 'motherboard chip', 'CPU', 'hard drive']","['neutral', 'neutral', 'neutral', 'neutral']"
"The buttons you have to press a little harder than most.","1","['buttons']","['negative']"
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","3","['battery life', 'battery', 'battery']","['negative', 'neutral', 'negative']"
"Right size and weight for portability.","3","['size', 'weight', 'portability']","['positive', 'positive', 'positive']"
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","1","['battery life']","['negative']"
"  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.","2","['Windows Vista Home Premium', '1GB of RAM']","['neutral', 'negative']"
"The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.","2","['display', 'brightness']","['negative', 'neutral']"
"My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.","2","['electronic fuzz sound', 'headphone jack']","['negative', 'negative']"
"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.","1","['keyboard']","['neutral']"
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.","1","['quality']","['positive']"
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.","1","['warranty']","['neutral']"
"Was searching online for a power supply when I found this site.","1","['power supply']","['neutral']"
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.","3","['graphics editing', 'complex data analysis', 'gaming']","['neutral', 'neutral', 'neutral']"
"  I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.","1","['costs']","['negative']"
"(No problem with the ordering or shipping by the way.","1","['shipping']","['positive']"
"And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.","3","['ram', 'performance', 'surf the web']","['positive', 'positive', 'positive']"
"The one thing I wish it had was a detailed hardcopy manuel.","1","['hardcopy manuel']","['negative']"
"I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive.","1","['drive']","['negative']"
"Fast, great visual!","1","['visual']","['positive']"
"It's priced very reasonable and works very well right out of the box.","2","['priced', 'works']","['positive', 'positive']"
"You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).","1","['OS']","['neutral']"
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.","3","['keyboard', 'plate', 'mouse command buttons']","['positive', 'negative', 'negative']"
"There are so many wonderful features and benefits to the new MacBook!","1","['features']","['positive']"
"the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.","1","['speeds']","['positive']"
"The only thing i can say is that the touch pad doesnt work like it should all the time.","1","['touch pad']","['negative']"
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","4","['size', 'features', 'lighted keyboard', 'mouse pad']","['positive', 'positive', 'positive', 'positive']"
"Battery life needs more life.","1","['Battery life']","['negative']"
"For some odd reasons the computer doesn't reconize the operation system.","1","['operation system']","['negative']"
"The trackpad was easy to learn and navigate.","1","['trackpad']","['positive']"
"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.","1","['Applications']","['positive']"
"I respond that I do not have the old computer and this way I would lose the data on my hard drive.","1","['hard drive']","['negative']"
"Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.","3","['Windows', 'Warrenty', 'agents']","['neutral', 'neutral', 'negative']"
"Even though the computer is larger they did not make the keyboard larger.","1","['keyboard']","['negative']"
"We paid for the three year warranty and the extended warranty after that one ended as well.","2","['three year warranty', 'extended warranty']","['neutral', 'neutral']"
"Its not just slow on the internet, its slow in general.","1","['internet']","['negative']"
"It has just enough RAM to run smoothly and enough memory to satisfy my needs.","2","['RAM', 'memory']","['positive', 'positive']"
"I acually believe the issue is with the Nvidia grafics card, but still requires a return.","1","['Nvidia grafics card']","['negative']"
"My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.","1","['work']","['negative']"
"The resolution is even higher then any other laptop on the market.","1","['resolution']","['positive']"
"Then just the other day, my left ""mouse"" button snapped!","1","['left ""mouse"" button']","['negative']"
"It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.","3","['type', 'feature', 'keyboard']","['positive', 'positive', 'positive']"
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","3","['15""', 'casing', '17""']","['neutral', 'negative', 'neutral']"
"The feel of this machine compared to the old MacBook is far superior.","1","['feel']","['positive']"
"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.","1","['hard disc']","['negative']"
"They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist.","1","['virus protection programs for a Mac']","['negative']"
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.","2","['Screen', 'HDMI']","['positive', 'neutral']"
"the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.","2","['graphics', 'wireless switch']","['negative', 'negative']"
"The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.","1","['build quality']","['positive']"
"I guess he was the technical person.","1","['technical person']","['neutral']"
"A seventy dollar mouse!","1","['mouse']","['neutral']"
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.","1","['shipped']","['negative']"
"when i first got it i thought the size of it was a joke.","1","['size']","['negative']"
"It is fast and i have not had a problem with internet connection or any other problems.","1","['internet connection']","['positive']"
"I'm really impressed with the quality and performance for the price of the computer.","3","['quality', 'performance', 'price']","['positive', 'positive', 'positive']"
"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD.","2","['recovery DVDs', 'driver/application DVD']","['neutral', 'neutral']"
"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.","1","['photo detection software']","['positive']"
"The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.","1","['speakers']","['negative']"
"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).","1","['price']","['negative']"
"It is so simple to use, I use it more than my desktop.","1","['use']","['positive']"
"I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.","3","['touchpad', 'mouse pointer', 'screen']","['negative', 'negative', 'neutral']"
"I have had no problems with it unlike some hardware defects on past models.","1","['hardware']","['negative']"
"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY.","1","['KEYBOARD']","['negative']"
"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.","1","['Windows']","['negative']"
"I took it in to the Apple store and guess what? They fixed it, no cost out of pocket.","1","['cost']","['negative']"
"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.","3","['quality', 'engineering design', 'warranty']","['positive', 'positive', 'positive']"
"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned.","1","['applications']","['positive']"
"The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.","1","['screen']","['positive']"
"Great laptop for school, easy to use for beginners in the household.","1","['use']","['positive']"
"4) Laptop still did not work, blue screen within a week...","1","['work']","['negative']"
"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.","1","['speakers']","['negative']"
"Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.","1","['hinges']","['negative']"
"Not to mention the fact that your mac comes fully loaded with all necessary basic programs.","1","['programs']","['positive']"
"Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).","1","['work']","['negative']"
"If this is an improvement in Customer Service then I would hate too see what it was before!","1","['Customer Service']","['negative']"
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.","4","['programs', 'Keynote', 'Pages', 'Numbers']","['positive', 'neutral', 'neutral', 'neutral']"
"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.","2","['expense', 'run']","['negative', 'positive']"
"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.","3","['components', 'price', 'price']","['positive', 'positive', 'positive']"
"There is no cd drive on the computer, which defeats the purpose of keeping files on a cd.","1","['cd drive']","['negative']"
"For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000","1","['price']","['positive']"
"Unfortunately, Apple's quality has continued to slide.","1","['quality']","['negative']"
"I believe that the quality of a mac is worth the price.","2","['quality', 'price']","['positive', 'positive']"
"sometimes you will be moving your finger and the pointer will not even move.","1","['pointer']","['negative']"
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.","3","['budget', 'shipping', 'price']","['positive', 'positive', 'positive']"
"I would rate this computer at 5 stars, but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.","1","['life span']","['negative']"
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.","4","['design', 'looks', 'feel', 'my toshiba feature']","['positive', 'positive', 'positive', 'positive']"
"The layout of the MacBook is horrible and confusing;","1","['layout']","['negative']"
"Was not happy with one of the programs on it.","1","['one of the programs']","['negative']"
"Also it is very good for college students who just need a reliable, easy to use computer.","1","['use']","['positive']"
"The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.","3","['Touchpad', 'USB', 'Touchpad']","['negative', 'negative', 'negative']"
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.","5","['document creation', 'word processor', 'windows', 'iwork', 'office']","['neutral', 'negative', 'neutral', 'positive', 'negative']"
"It is light and the battery last a very long time.","1","['battery']","['positive']"
"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).","3","['memory stick', 'memory', 'memory stick']","['negative', 'neutral', 'neutral']"
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.","5","['keys', 'keyboard', 'paint', 'button below the mouse pad', 'screen']","['negative', 'negative', 'negative', 'negative', 'negative']"
"The next time I had an issue my lightscribe wouldn't work.","1","['lightscribe']","['negative']"
"The touchpad is extremely sensitive, which is the only drawback.","1","['touchpad']","['negative']"
"also it comes with very useful applications like iphoto that it is the best photo application i have ever had","3","['applications', 'iphoto', 'photo application']","['positive', 'positive', 'positive']"
"They don t translate from a Mac, even on Word, resulting in a ton of run-on sentences.","1","['Word']","['negative']"
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.","2","['17 ince screen', 'screen']","['neutral', 'positive']"
"Summary: They played games with me for the warranty period.","1","['warranty period']","['negative']"
"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.","3","['Windows update', 'HD', 'drivers']","['neutral', 'negative', 'negative']"
"I can have both OSX and Windows XP running at the same time!","2","['OSX', 'Windows XP']","['positive', 'positive']"
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor","5","['Features', 'Performance', 'Battery Life', 'Price', 'Value']","['neutral', 'negative', 'positive', 'negative', 'negative']"
"Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.","1","['windows']","['negative']"
"The graphics are stunning.","1","['graphics']","['positive']"
"(I found a 2GB stick for a bit under $50) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.","1","['system']","['positive']"
"after much effort and 10 days ASUS replaced itThe WiFi is very weak.","1","['WiFi']","['negative']"
"You can call HP and they want you to buy more software to fix it.","1","['software']","['neutral']"
"It is easy to navigate and update programs.","2","['navigate', 'update programs']","['positive', 'neutral']"
", Applications respond immediately (not like the tired MS applications).","2","['Applications', 'MS applications']","['positive', 'negative']"
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.","1","['Customer Service']","['positive']"
"The only drawback for me is how dirty the screen gets, and rather quickly too.","1","['screen']","['negative']"
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.","2","['carry', 'weight']","['positive', 'positive']"
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.","3","['applications', 'Internet tabs', 'programs']","['positive', 'positive', 'neutral']"
"I also did not like the loud noises it made or how the bottom of the computer would get really hot.","2","['noises', 'bottom of the computer']","['negative', 'negative']"
"I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.","1","['repair technician']","['positive']"
"defective software.","1","['software']","['negative']"
"This computer was so challenging to carry and handle.","2","['carry', 'handle']","['negative', 'negative']"
"Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.","8","['Cords', 'power', 'cords', 'headphones', 'mic', 'network connection', 'setup', 'cords']","['negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']"
"Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.","1","['power supply']","['negative']"
"It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.","1","['Core2 Quad']","['neutral']"
"It is good to know that I can mobilize without having to worry about the battery life.","1","['battery life']","['positive']"
"The screen is nice, side view angles are pretty good.","1","['screen']","['positive']"
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.","2","['screen', 'screen']","['positive', 'positive']"
"3 weeks went by and the computer keeps crashing and will not open any applications.","1","['applications']","['neutral']"
"Not to mention sometimes the whole charger unit will decide not to work entirely.","1","['charger unit']","['negative']"
"Looks nice, but has a horribly cheap feel.","2","['Looks', 'feel']","['positive', 'negative']"
